num,中文,Activity,Location,Description,Sources Link,Image_path,Special_Effect,Target_Cell
23,月震體驗,Experience Moonquakes,Earth/Moon,"Astronauts left several Passive Seismic Experiments (PSE) on the lunar surface during the Apollo missions. The seismometers on these devices detected moonquakes, impacts from meteorites, and impacts of man-made origin (also known as artificial impacts). Numerous moonquakes occur during sunset and sunrise when the lunar surface temperature changes rapidly on either side of the day/night terminator line. Many of those moonquakes even occur on mapped fault lines.",,space.jpeg
24,旅行中,traveling,space,traveling in space,,space.jpeg
25,蟲洞,wormhole,space,Absorbed by wormhole! Fast travel forward,,whole.gif,wormhole,31
26,火星,Mars,Mars,"Type: Rocky planet
Size (diameter): 6791 km, or about half the size of Earth
Mass: 6.417 × 10^23 kg, or about 10% the mass of Earth
Length of a year (orbital period): 687 days
Number of moons: Two, Phobos and Deimos
Average distance from the Sun: 227,939,200 km
Temperature: Between -140 and 30 degrees Celsius",,Planet/mars.png
27,觀察火星車執行任務,Join with Rover,Mars,"The Mars 2020 mission, executed by a rover named “Perseverance,” aims to seek signs of ancient life and collect samples of rock and regolith (broken rock and soil) for possible return to Earth.",https://mars.nasa.gov/mars2020/,Mars/Rover_self.jpg
28,火衛一特色景觀參訪,Visit Stickney Crater: The Most Prominent Feature on Phobos,Mars/Phobos,"The most prominent feature on Phobos is Stickney Crater, which is named for Chloe Angeline Stickney Hall, mathematician and wife of astronomer Asaph Hall. Asaph Hall discovered both the Red Planet's moons in 1877. Stickney crater is about 6-miles (9.7 kilometers) wide, and takes up about half the moon's surface. NASA Mars Global Surveyor took images of the crater, and it appears to be filled with fine dust, with evidence of boulders sliding down its sloped surface.",https://science.nasa.gov/mars/moons/phobos/,Mars/phobos.png
29,小行星,Asteroid,space,Hit by asteroid! Pushed backward,,asteroid.gif,asteroid,13
30,火星地形探索:造訪太陽系中的最深的峽谷,A Massive and Mysterious Canyon,Mars,"Valles Marineris, over 3,000 km long and averaging 8 km deep, extending from Noctis Labyrinthus, the arcuate system of graben to the west, to the chaotic terrain to the east. Many of the channels flowed north into Chryse Basin, which contains the site of the Viking 1 Lander and the future site of the Mars Pathfinder Lander.",https://photojournal.jpl.nasa.gov/catalog/pia00422,Mars/Valles Marineris.jpeg
31,火星地形探索:造訪太陽系中的最高峰,Conquer Olympus Mons: Explore the Tallest Volcano in the Solar System,Mars,"Olympus Mons is the largest known volcano in the Solar System. It is 27 kilometers high, over 600 kilometers at the base, and is surrounded by a well-defined scarp that is up to 6 km high. Lava flows drape over the scarp in places. Much of the plains surrounding the volcano are covered by the ridged and grooved 'aureole' of Olympus Mons. The origin of the aureole is controversial, but may be related to gravity sliding off of the flanks of an ancestral volcano. The summit caldera (central depression) is almost 3 km deep and 25 km across. It probably formed from recurrent collapse following drainage of magma resulting from flank eruptions.",https://www.jpl.nasa.gov/images/pia00300-olympus-mons,Mars/Olympus_Mons.jpg
32,在火星上看星星或土星環,Stargazing on Mars: An Experience Unlike Earth's,Mars,"Stargazing in the Solar System beyond Earth to experience something truly unique. Due to Mars and Saturn's closer proximity in comparison to Earth and Saturn, there's a chance to witness the mesmerizing Saturn Rings if Saturn's position aligns with the traveler and the sun correctly. You can also see two moons from Mars, one named Phobos and the other named Deimos. Observe and compare them to Earth's Moon.",,Mars/Saturn.jpg
33,旅行中,traveling,space,traveling in space,,space.jpeg
34,在火星上搜集垃圾，為環保更盡一份力,Removing Artificial Objects to Cleanse Mars,Mars,"During the past era of the space race, numerous Mars probes were launched in the pursuit of Mars exploration. Among them, many faced failures, whether due to crashes or retirement. However, these spacecraft were not retrieved, and they now remain on Mars, becoming artificial objects on Mars. Today, we have the opportunity to walk in the footsteps of history, while also taking the initiative to collect and remove them. This not only contributes to a cleaner Martian environment but also opens up the possibility for new beginnings and the potential for future life to thrive on Mars.",Rover's Backshell Seen From the Air – NASA Mars Exploration,Mars/Rovers_Backshell_Seen_From_the_Air.png
35,小行星,Asteroid,space,Hit by asteroid! Pushed backward,,asteroid.gif,asteroid,1
